cp-train: gens=120 pop=64 elite=8 games=64 seed=1 cap=200 arch=[63, 24, 16, 1] (1953 params) out=checkpoints
gen  31/120  best=+0.6588 mean=+0.2903 med=+0.3107 std=0.1883 tf=0.197 nov=0.000 sigma=0.1240 wT=0.342 gLen=143.8 bankrupt=0.06 div=9.119 200.7 g/s
gen  32/120  best=+0.6668 mean=+0.2956 med=+0.3020 std=0.1305 tf=0.166 nov=0.000 sigma=0.1222 wT=0.333 gLen=145.8 bankrupt=0.05 div=10.021 203.7 g/s
gen  33/120  best=+0.5854 mean=+0.3004 med=+0.3328 std=0.1784 tf=0.226 nov=0.000 sigma=0.1204 wT=0.325 gLen=144.8 bankrupt=0.05 div=10.488 215.0 g/s
gen  34/120  best=+0.6088 mean=+0.3345 med=+0.3368 std=0.1417 tf=0.179 nov=0.000 sigma=0.1186 wT=0.317 gLen=141.1 bankrupt=0.06 div=10.441 205.0 g/s
gen  35/120  best=+0.5922 mean=+0.3470 med=+0.3483 std=0.1607 tf=0.196 nov=0.000 sigma=0.1168 wT=0.308 gLen=142.3 bankrupt=0.05 div=10.761 196.9 g/s
gen  36/120  best=+0.7775 mean=+0.3615 med=+0.4274 std=0.2353 tf=0.224 nov=0.000 sigma=0.1150 wT=0.300 gLen=131.2 bankrupt=0.08 div=11.407 185.6 g/s
gen  37/120  best=+0.8210 mean=+0.3396 med=+0.3696 std=0.2698 tf=0.233 nov=0.000 sigma=0.1132 wT=0.292 gLen=133.6 bankrupt=0.07 div=11.794 184.7 g/s
gen  38/120  best=+0.6682 mean=+0.3620 med=+0.3894 std=0.1660 tf=0.185 nov=0.000 sigma=0.1114 wT=0.283 gLen=128.4 bankrupt=0.08 div=12.624 182.7 g/s
gen  39/120  best=+0.6645 mean=+0.3364 med=+0.3333 std=0.1553 tf=0.220 nov=0.000 sigma=0.1096 wT=0.275 gLen=137.1 bankrupt=0.06 div=11.982 190.2 g/s
gen  40/120  best=+0.5975 mean=+0.2896 med=+0.2862 std=0.1287 tf=0.161 nov=0.000 sigma=0.1078 wT=0.267 gLen=147.2 bankrupt=0.05 div=7.764 189.7 g/s
gen  41/120  best=+0.6918 mean=+0.2799 med=+0.2887 std=0.1757 tf=0.269 nov=0.000 sigma=0.1060 wT=0.258 gLen=156.8 bankrupt=0.04 div=7.158 195.2 g/s
gen  42/120  best=+0.6003 mean=+0.2776 med=+0.2733 std=0.1729 tf=0.195 nov=0.000 sigma=0.1042 wT=0.250 gLen=151.0 bankrupt=0.06 div=7.977 196.2 g/s
gen  43/120  best=+0.7246 mean=+0.2881 med=+0.3041 std=0.1681 tf=0.225 nov=0.000 sigma=0.1024 wT=0.242 gLen=152.6 bankrupt=0.05 div=8.375 190.4 g/s
gen  44/120  best=+0.7014 mean=+0.2925 med=+0.2913 std=0.1784 tf=0.199 nov=0.000 sigma=0.1006 wT=0.233 gLen=141.5 bankrupt=0.07 div=7.917 173.6 g/s
gen  45/120  best=+0.6346 mean=+0.2926 med=+0.3001 std=0.1383 tf=0.240 nov=0.000 sigma=0.0987 wT=0.225 gLen=148.5 bankrupt=0.06 div=8.060 179.6 g/s
gen  46/120  best=+0.6806 mean=+0.3323 med=+0.3318 std=0.1979 tf=0.213 nov=0.000 sigma=0.0969 wT=0.217 gLen=141.0 bankrupt=0.07 div=7.389 180.2 g/s
gen  47/120  best=+0.7078 mean=+0.2915 med=+0.2719 std=0.1674 tf=0.222 nov=0.000 sigma=0.0951 wT=0.208 gLen=141.1 bankrupt=0.07 div=8.029 180.9 g/s
gen  48/120  best=+0.6942 mean=+0.3111 med=+0.3325 std=0.1840 tf=0.223 nov=0.000 sigma=0.0933 wT=0.200 gLen=133.3 bankrupt=0.09 div=8.060 172.2 g/s
gen  49/120  best=+0.6381 mean=+0.3136 med=+0.3177 std=0.1485 tf=0.256 nov=0.000 sigma=0.0915 wT=0.192 gLen=131.4 bankrupt=0.08 div=9.073 175.0 g/s
gen  50/120  best=+0.6946 mean=+0.3028 med=+0.3028 std=0.1910 tf=0.222 nov=0.000 sigma=0.0897 wT=0.183 gLen=138.9 bankrupt=0.08 div=9.124 185.0 g/s
gen  51/120  best=+0.6200 mean=+0.3191 med=+0.3184 std=0.1641 tf=0.260 nov=0.000 sigma=0.0879 wT=0.175 gLen=130.3 bankrupt=0.08 div=9.392 175.8 g/s
gen  52/120  best=+0.6920 mean=+0.3141 med=+0.3154 std=0.1784 tf=0.245 nov=0.000 sigma=0.0861 wT=0.167 gLen=141.9 bankrupt=0.06 div=9.735 184.5 g/s
gen  53/120  best=+0.5360 mean=+0.3001 med=+0.3232 std=0.1328 tf=0.215 nov=0.000 sigma=0.0843 wT=0.158 gLen=135.8 bankrupt=0.07 div=8.042 162.3 g/s
gen  54/120  best=+0.6849 mean=+0.3120 med=+0.3397 std=0.1688 tf=0.261 nov=0.000 sigma=0.0825 wT=0.150 gLen=137.0 bankrupt=0.07 div=6.639 150.6 g/s
gen  55/120  best=+0.6840 mean=+0.3428 med=+0.3459 std=0.1923 tf=0.256 nov=0.000 sigma=0.0807 wT=0.142 gLen=133.6 bankrupt=0.07 div=6.458 154.0 g/s
gen  56/120  best=+0.9788 mean=+0.3647 med=+0.3457 std=0.2103 tf=0.335 nov=0.000 sigma=0.0789 wT=0.133 gLen=131.3 bankrupt=0.07 div=6.521 146.9 g/s
gen  57/120  best=+0.7784 mean=+0.3723 med=+0.3768 std=0.1626 tf=0.289 nov=0.000 sigma=0.0771 wT=0.125 gLen=126.8 bankrupt=0.08 div=6.042 147.7 g/s
gen  58/120  best=+0.7748 mean=+0.3981 med=+0.4012 std=0.1701 tf=0.302 nov=0.000 sigma=0.0753 wT=0.117 gLen=117.2 bankrupt=0.10 div=6.918 157.2 g/s
gen  59/120  best=+0.6973 mean=+0.3872 med=+0.3786 std=0.1686 tf=0.268 nov=0.000 sigma=0.0735 wT=0.108 gLen=113.7 bankrupt=0.11 div=7.615 157.4 g/s
gen  60/120  best=+0.7425 mean=+0.3608 med=+0.3545 std=0.1864 tf=0.254 nov=0.000 sigma=0.0717 wT=0.100 gLen=113.7 bankrupt=0.10 div=7.940 155.9 g/s
gen  61/120  best=+0.6976 mean=+0.3336 med=+0.3231 std=0.1469 tf=0.286 nov=0.000 sigma=0.0699 wT=0.092 gLen=116.0 bankrupt=0.09 div=8.479 158.4 g/s
gen  62/120  best=+0.6889 mean=+0.3400 med=+0.3645 std=0.1995 tf=0.250 nov=0.000 sigma=0.0681 wT=0.083 gLen=115.7 bankrupt=0.09 div=8.092 157.6 g/s
gen  63/120  best=+0.6917 mean=+0.3293 med=+0.3610 std=0.1817 tf=0.248 nov=0.000 sigma=0.0662 wT=0.075 gLen=114.8 bankrupt=0.09 div=8.822 151.0 g/s
gen  64/120  best=+0.8402 mean=+0.3801 med=+0.3725 std=0.1697 tf=0.281 nov=0.000 sigma=0.0644 wT=0.067 gLen=110.6 bankrupt=0.10 div=9.053 150.5 g/s
gen  65/120  best=+0.7306 mean=+0.3523 med=+0.3751 std=0.1844 tf=0.265 nov=0.000 sigma=0.0626 wT=0.058 gLen=109.5 bankrupt=0.10 div=9.200 150.2 g/s
