cp-train: gens=120 pop=64 elite=8 games=64 seed=1 cap=200 arch=[57, 24, 16, 1] (1809 params) out=checkpoints/phase1
gen  31/120  best=+0.5315 mean=+0.2662 med=+0.2632 std=0.1106 tf=0.199 nov=0.000 sigma=0.1240 wT=0.342 gLen=177.0 bankrupt=0.02 div=9.187 233.5 g/s
gen  32/120  best=+0.5503 mean=+0.2974 med=+0.2987 std=0.1132 tf=0.179 nov=0.000 sigma=0.1222 wT=0.333 gLen=171.6 bankrupt=0.02 div=10.450 234.9 g/s
gen  33/120  best=+0.4417 mean=+0.2664 med=+0.2725 std=0.0770 tf=0.177 nov=0.000 sigma=0.1204 wT=0.325 gLen=173.9 bankrupt=0.02 div=10.773 240.1 g/s
gen  34/120  best=+0.5720 mean=+0.2792 med=+0.2838 std=0.1408 tf=0.170 nov=0.000 sigma=0.1186 wT=0.317 gLen=171.5 bankrupt=0.02 div=11.537 235.9 g/s
gen  35/120  best=+0.5225 mean=+0.2652 med=+0.2605 std=0.1153 tf=0.163 nov=0.000 sigma=0.1168 wT=0.308 gLen=169.6 bankrupt=0.03 div=11.166 246.5 g/s
gen  36/120  best=+0.4918 mean=+0.2623 med=+0.2683 std=0.1283 tf=0.170 nov=0.000 sigma=0.1150 wT=0.300 gLen=167.7 bankrupt=0.03 div=11.721 235.9 g/s
gen  37/120  best=+0.5209 mean=+0.3010 med=+0.2854 std=0.1044 tf=0.213 nov=0.000 sigma=0.1132 wT=0.292 gLen=164.1 bankrupt=0.04 div=12.231 233.8 g/s
gen  38/120  best=+0.5361 mean=+0.2645 med=+0.2721 std=0.1106 tf=0.152 nov=0.000 sigma=0.1114 wT=0.283 gLen=166.8 bankrupt=0.03 div=12.802 236.1 g/s
gen  39/120  best=+0.6010 mean=+0.2954 med=+0.2993 std=0.1072 tf=0.243 nov=0.000 sigma=0.1096 wT=0.275 gLen=167.8 bankrupt=0.04 div=13.834 224.2 g/s
gen  40/120  best=+0.4733 mean=+0.2493 med=+0.2785 std=0.1370 tf=0.178 nov=0.000 sigma=0.1078 wT=0.267 gLen=164.9 bankrupt=0.05 div=14.246 217.9 g/s
gen  41/120  best=+0.5099 mean=+0.2752 med=+0.2730 std=0.1381 tf=0.159 nov=0.000 sigma=0.1060 wT=0.258 gLen=155.5 bankrupt=0.07 div=7.196 208.3 g/s
gen  42/120  best=+0.6256 mean=+0.2892 med=+0.2774 std=0.1427 tf=0.207 nov=0.000 sigma=0.1042 wT=0.250 gLen=152.5 bankrupt=0.07 div=7.587 218.3 g/s
